reviewer_name,review_text
Amazon Customer,"I have only skimmed through the book and I have already found multiple mistakes. I got curious so I looked at the 1-star reviews of the book and there I found people with the same complaints as mine.

As an example of a mistake (which is also the most embarassing that I found): ""A p-value is the probability of observing the given test results under the null hypothesis assumptions."" (cf. Solution #6.6 p.63). Note that this is not simply a typo because the same exact sentence appears elsewhere (e.g. Solution #6.5), and, worst of all, this definition is used in the calculations (!!!). To illustrate why this is nonsensical, let us assume that we want to test the fairness of a coin (so the null hypothesis is ""Probability of heads is 0.5"" and the alternate hypothesis is ""Probability of heads is different from 0.5"") and we toss it n times, where n is sufficiently large. Then the probability, under the null hypothesis, of observing k heads (0 <= k <= n), is extremely small, for any k (exercise for the reader, use Stirling approximation). So the p-value would be always extremely small and you would always reject the null.
The other bad reviews give other examples of mistakes/typos that could be very dangerous to someone who is not sufficiently confident with the material.

That said, this book can still somehow be useful although it's very debatable whether it's worth 36$ -- a more reasonable range is 5-15. The questions are useful (however, note that the vast majority of them are not different from what you could find on Glassdoor). The list of topics can be useful to devise a study plan and track your progress. And I guess that many answers make sense, provided you know the material a bit.

There should be a massive warning sign on this book: ""Do not rely on the given solutions and do not learn any theory from it"". Just use it as a sort of grocery list of things that you should be comfortable with and test yourself here and there. Not more than that."
Shideh,"An excellent book that covers all aspects of data science! Whether you’re looking for a quick refresher or want to learn the fundamentals, this book has you covered. It spans everything from soft skills for interviews to the essential technical knowledge you need!"
JJ,"The questions here are pretty tough. There's not a lot of explanation of the concepts, but this isn't meant to be a textbook that teaches you the material, it's a practice guide for interviews and jogging your memory about what to study -- assuming you already know the material. I had to use other sources to fill in the gaps in some of the material I didn't understand, but the breadth of topics and practice questions is a great place to figure out what you know and don't know!"
Hao,This is a must-read for someone who is trying to land a Data Science role. I find the Product Sense and Case Studies sections especially helpful. These are not the skills you are taught in school so having a framework to work with gives you a solid head start when facing these questions during interviews.
Amazon Customer,"I have been reading this book to prepare for my transition into Data Science and I really appreciate the level of detail and the comprehensive amount of information that Nick and Kevin put into this thing. Plus, if you're looking for even more information Nick is super approachable and if you reach out to him he is very open to questions, feedback, and to offer additional advice. The one drawback is that the book can be a little intimidating since it pretty much applies to anyone going into Data Science, so that means people who are going to be Machine Learning Engineers at Google or a Blackrock Quant trader you will love this book, for your average Data Analyst some of the Hard interview questions go a little overboard.

Pros:
- Tons of information
- Lots of interview questions
- Great support from the authors

Cons:
- Some areas get too technical too quickly and can be intimidating, especially the HARD Stats questions
- The portfolio stuff is pretty generic and doesn't really walk you through any projects
- explanations of the more math-heavy topics don't tie in real-world examples super well"
Sung G. Kim,"This book has one of the most details regarding data scientist interviews.
If you don't have stats background like me, you would be meeting with lots of terms and concepts you never heard of in this book. Brush your skill as you go and you would be ready for tackling most difficult interviews in data science.
I like their case studies where you can learn from questions that may come up in your interviews."
pburg,"I'm a data scientist who does a lot of technical interviewing at a non-FAANG. I think this book is only useful if you're interviewing at FAANG or other blue blood companies with a certain old school style of interviewing.

I bought this book out of curiosity, mostly for the coding section. I was disappointed to find the coding section mostly covers ""classic"" questions that have little to do with your day-to-day competence in a DS role. Those classics are things like writing a function to return fibonacci numbers or sorting algorithms. I forgot I ever studied that stuff with a stronger CS flavor, and most of my colleagues would agree those aren't useful interview questions. I think this goes back to DS once being more dominated by computer scientists or physicists. Now, it's a broader role attracting social scientists and other backgrounds and interviews have changed to better identify that talent. This book does not adequately reflect that.

I can't blame the authors for covering this material. These are real interview questions you might face, especially at the big companies with a rote process. But the people I know giving those interviews don't believe in them.

There are also typos as others mentioned. I'm also not a fan of some of the cold-emailing strategies they advise, but that's more of a personal taste.

Edit: I decided to add a third star after reading other chapters more thoroughly. It's valuable to have a lot of this wisdom collected in one place, especially for the product sense chapter."
Rambo,"This book is a valuable resource for anyone preparing for a data science interview. It covers a wide range of topics, including probability, statistics, machine learning, SQL, Python coding, and product sense. The book also includes practice problems and solutions, which can help you test your knowledge and identify areas where you need to improve.
Overall, ""Ace the Data Science Interview"" is a comprehensive and helpful guide that can help you land your dream data science job."
Michelle H,"It is a scary thing to change careers after 30 years, but 25 years into my teaching career, I knew that data science was where I wanted to go next. This book has helped me tremendously with my resume, and given me invaluable insights on what should go into my online portfolio. Chapters 1 - 4 were so helpful for resumes and getting that first look by potential employers that I even bought a second book for my son who was beginning his first job hunt after graduating college. They are great tips for anyone in any field! The 201 questions, split up by topic in each chapter along with which company they came from, took me a couple of months to work through. They were truly the best review I could have asked for after all of the online courses and books I had used up to this point. This is an excellent book, and a resource that has actually given me the confidence that I am prepared for interviews. I highly recommend!"
T. Bond,"Data Science for Business by Foster Provost and Tom Fawcett is a very important book about data mining and data analytic thinking. In 1971, Abbie Hoffman shocked the world when he demanded hippie readers (at the time, a likely oxymoron) ""Steal This Book"". While I wouldn't go so far as to encourage current and future data scientists to shoplift, I will demand that they READ THIS BOOK!

Not long ago, data was difficult and expensive to come by. Today, we're living in a world of far too much data, vast amounts of cheap computing power, and way too many poorly defined questions. Mix them all together and you're guaranteed to make a mess.

Going from data dearth to plethora presents substantive issues. In business, the balance between gut feel decision-making and analysis paralysis is changing, rapidly. Whether it moves too far from gut to paralysis, only time will tell. Through Data Science for Business, Provost and Fawcett offer practitioners a guide to equilibrium.

Read this book and you'll find yourself moving briskly down the road towards data analytic enlightenment. While not highly technical, the authors covers each topic with enough rigor to appreciate the tools being presented and the insights being offered.

From the outset, the authors are clear about the book's objectives: ""The primary goals of this book are to help you view business problems from a data perspective and understand principles of extracting useful knowledge from data. There is fundamental structure to data-analytic thinking, and basic principals that should be understood. There are also particular areas where intuition, creativity, common sense, and domain knowledge must be brought to bear… As you get better at data-analytic thinking you will develop intuition as to how and where to apply creativity and domain knowledge.""

This paragraph makes me think of all those undergrad and graduate students studying Statistics at Universities all over the world, my daughter included, who are being bombarded by one math or statistics class after another (Calculus III, Math Stat I and II, Linear Algebra, etc.). Yet, far too often, they enter the real world lacking ""data analytic thinking"" or a sense of ""basic principals"" They do, however, have a sense of being overwhelmed and under prepared. The epic battle between ""frequentists"" and ""Bayesians"", takes a back seat to what should be the real controversy in statistics departments around the world, the balance between ""application"" and ""theory"". The book's ""primary goals"" should be the walking orders of every statistics program at any college or university anywhere.

From the outset (page 2), the authors state, ""Data mining is a craft. It involves the application of a substantial amount of science and technology, but the proper application still involves art as well."" Absolutely true! It's great to read this stuff! This is followed by a concise discussion of CRISP-DM, a well-defined data mining process, whose concepts are elementary, essential, and integral to the responsible, proper, and successful practice of data mining.

From this point on, the authors proceed to accomplish their primary goals. They present such topics as predictive modeling, correlation, classification, clustering, regression, logistic regression, linear discriminants, and much more. Their presentations are user friendly, their real world examples are interesting, and their guidance and insights are extremely valuable.

My criticisms are limited to their website. The Data Science for Business site leaves me wanting more real world examples to enjoy, access to more resources and tools of the trade, more references to peruse, and a more rigorous approach to some of the solutions. Perhaps Data Science for Business the sequel is on the horizon?

Whether you're a seasoned statistician (or, data scientist), a young aspiring novice, or an adventurous business person looking to expand his/her horizons, Data Science for Business by Foster Provost and Tom Fawcett is well worth the price of admission and the reading time you'll invest.

Foster Provost and Tom Fawcett state, ""[i]deally, we envision a book that any data scientist would give to his collaborators…"" I'll do them one better, I'm giving it to my daughter!"
Geoffrey R. Anderson,"It's an excellent, even mandatory book for your Data Science shelf. I am glad I bought it. I am 67% of the way through reading this book. It has nowhere near enough material on some areas, though, and is just missing some material that you need for DS. That's actually OK because of course no single book is enough to cover everything you need to know in a field. Look how many books you may have bought just to get an undergrad degree, and I bet it was not just one book.

So here is a list of good and bad about this excellent book.

Its good points:

The profit curve. After reading this book, I will never use Accuracy to select a model any more, as that's nearly a worthless metric especially when there are marginal costs and marginal profits involved in an application scenario. The book is just amazingly good on describing how to select models based on estimated profit, and foremost the profit curve, and selected other supporting curves like ROC area under curve.

The expected profit computation and the cost-benefit matrix as a partner to the confusion matrix. This is great stuff. It's not even described in other data science courses that I have taken.

Other good points: ...And don't worry about the other good points (there are some). The profit curve analysis, and the lead-up to that, are superior.

Its bad points:

p.224: ""We will train on the complete dataset and then test on the same dataset we trained on."" What follows next the rest of the chapter is just an inappropriate error analysis, because it is overly optimistic (but otherwise the techniques are great.) The models have seen the training data. We should never completely assess (test) -- and base the entire remainder of the chapter material -- on error (accuracy) estimates produced from data that the models have already seen.

In most chapters, there is just not enough detail in the material, to enable this book to be used as a ""correct reference"" basis against which to write your own working code as you follow along with the text in whatever computer language you want to use for analysis.

In summary:

The book is outstanding. It is necessary for your DS bookshelf, but on the other hand it is nowhere near sufficient.

The data science course sequence by Johns Hopkins University identifies many of the elements of a nice overall outline as to what DS practitioners need to be able to do (and this is not even sufficient either):

Reproducible research; Experimental design; R programming (or python, or perhaps SAS or Octave, but some mathy language for sure); Exploratory data analysis; Regression models; Statistical inference; Practical machine learning; Scientific writing; Developing data products; Big data techniques (e.g. Apache Spark programming or at least MapReduce-style programming); SQL and NoSQL databases; Concurrent, distributed, and parallel programming; Advanced statistics (such as multiple testing corrections).

This book by Provost et al gives just a part of the necessary DS material. However the part it provides, is essential. I wish the biological data scientists in academia would adopt and integrate the cost-benefit matrix idea and the profit curve idea into their model selection techniques instead of just using the accuracy metric mostly.

Also a data scientist could do several follow-on added-value extensions to the profit curve chapter. You could produce Revenue curve (or Cost) since sometimes that matters more. You could quickly find alternatives which are nearly equi-profitable to the optimal profit but which exhibit (less revenue, less cost) or (more revenue, more cost). You could detail the model selection and profit consequences of fixed budgets. You could further assess the implications of marginal profit analysis on the optimal quantity when the profitability ratio changes. You could directly assess the data science solution against the best business wisdom solution and estimate what amount of profit is lost when using the old business wisdom decisions. It's a testament to this book's strong value that you can do a lot more based on its material.

Nice work. Recommended."
Orange Monkey,"Context: I'm an MD, needing to communicate with data scientist to build a product.

I've this far only read two chapters. My pattern-recognition ;) this far however, with an assessment that this will be applicable to the rest of the book is two-fold:

1) Too verbose!
Too much stuff on explaining the structure and purpose of the book. Could've been said way more succinctly, and therefore more clearly. The effect is that I start skimming.

2) Not 'sharp' enough.
The best non-fiction written for non-expert manages to reduce the complex into explaining the essence. Not making it simpler, and reducing crucial comprehension. But reducing the complex into its crucial essence.
When going over different types of tasks; classification, regression, similarity matching, clustering, co-occurence grouping - the way they are described, there is essentially no difference between i.e. clustering, similarity matching and clustering; they're all classifications - yes, there is a difference between regression.

In order for this to be truly helpful even for an absolute layman as myself, it needs to add enough crucial, essential distinctions to make the categories mutually exclusive. I can think about it, I can look it up. The book would however been better if the information was more 'sharply' communicated.

So why 4-star?
Because it is a beautiful balance for the amateur. Explaining basic concepts instead of trendy-applications.
For future versions though, correcting for verbosity and greater specificity (essence) will make it a true winner."
Anonymous,"This book is ideal for anyone looking to understand data science, and especially those who might interact with data scientists at work. Roughly half the book deals with the essential data mining algorithms. The focus is on understanding what the algorithms do, not the details of how they do it, so implementation details are omitted. The math is certainly discussed, but kept to a minimum, and coupled with comprehensible, plain English explanations of each algorithm. Each chapter includes a case study illustrating how the algorithm can be used for a real-world problem.

The other half of the book (interspersed between the algorithms) deals with issues relating to design, implementation, evaluation, and deployment of models. Without understanding these crucial ideas, the algorithmic knowledge is useless. For example, the right and wrong techniques for evaluating model performance are discussed at length. A businessperson without adequate background could easily be misled by certain evaluation metrics, and the reader is taught to evaluate model performance with a critical eye. There is also a chapter on evaluating and critiquing data mining proposals, which nicely ties together the algorithmic, business, and practical concepts discussed earlier in the book. Some case studies are revisited in several chapters at increasing levels of sophistication, making the book feel like a cohesive whole rather than a mere compilation of chapters. If you’re coming from a technical background, you will learn a great deal about the business and practical/implementation aspects of analytics. If you’re coming from a business background, you will gain an understanding of what your data can do for you, and how to use it to your benefit. The book is an intense but very pleasant read, even funny at times. Highly recommended!"
Sandro Saitta,"Foster Provost and Tom Fawcett are known for their work on fraud detection, among others. I have recently read their last book, Data Science for Business – What you need to know about data mining and data-analytic thinking. No suspense: it’s one of the best data mining book I have ever read. Its style allows the book to be read by beginners, but its wide coverage and detailed case studies makes it a reference for experts as well.

As the title suggest, the book has a real focus on business with plenty of industry examples and challenges. The style is very pleasant since authors have made efforts to put the reader in specific situations to better understand a problem. To be noted the very interesting discussion of data mining leaks as well as data mining automation. The book is divided by concepts and provides a focus on them (instead of techniques). Although no exercice is present, the book could easily be used as a resource for a course.

Each chapter is clearly divided into basic and advanced topics. The evaluation phase of the data mining standard process is deeply discussed. The section about Bayes rule is very well written. Data Science for Business is also an excellent resource to avoid data mining pitfalls. Chapter 13 is a must-read in order to understand success factor for implementing data mining in a company. To conclude, targeted at both beginners and experts, Data Science for Business is the new reference for data mining professionals working in industry."
Jay Sullivan,"Excellent discussion of data science methods without excessive focus on mathematical elements. These are included at a level that can be understood for the skilled marketer who has background but does not wish to go deep into the math. The coverage is broad with both supervised and unsupervised methods in data mining. Topics cover tree models to logistic regression, to scoring. A discussion of holdout model tests, prediction & validation. Particular emphasis is placed on how to frame questions to apply to the business case so suitable conclusions can guide business decisions and strategy. You will get the sense that the authors are battle tested veterans of the data mining business and have applied their creativity to a broad range of business, data and technical challenges.

Only two caveats to this book. First, as purchaser of the kindle edition, I found the equations included in the text were sometimes very readable and sometimes the type was so small as not to be legible at all. Be warned. If you intend to follow the math that is included, perhaps the paper edition would be best. Second, this book does not dwell on the statistical packages that can be used to support data mining efforts. If you are interested in exploring these methods in practice, you will need to look further."
Rich,"although billed, at least in part, as aimed at ""business people who will be working with data scientists, managing data science-oriented projects, or investing in data science ventures"" (p xiii), the book never points out that all analytic techniques make assumptions and that the data scientist needs to be questioned about that (when they don't mention it upfront) and questioned about what happens when assumptions are violated; in addition, many, maybe most, techniques have biases and these are never mentioned either; there is also no discussion of bootstrap (the authors use cross-validation instead thus, generally, wasting information) or of external validation and no warnings about what to beware of when using surrogates; at a lower level, the book is generally readable and generally well-informed but needs to be supplemented with something that covers how to, at least, question the technical people about assumptions and biases"
Linxing,"Needless to say, it's the best book I've ever read that perfectly combines the technical details and high level intuition.
""Big data"" might sound daunting recent days since AI, machine learning, deep learning based applications are in wide spread whenever you open your browse, turn on your cell phone or etc. But you will feel much less whelmed by reading this book. It provides you with a unique experience in that it bridges the practical business problems and machine learning models. Roughly speaking, most of books I've read are short in either of two domains: interpretability and rigorousness. This is fills in the hole pretty well.
If you are a data science manager and want to better understand what your team members are doing, this book gives you a snapshot. If you are a data scientist with years' training in statistics and computer science, this book can help you develop your understanding of the business problems in practice and offer you a different angle of analyzing them.
In conclusion, 5/5 star, a must-have book that should be on the shelf of each other wants to work in the data related field."
San_Diego_Brit,"This book is so good I've added it to my Top 10 technical/business books ever read. My son gave me his copy and said ""I kept seeing this book on the desk of people I respect"". I'm currently on my second reading of the book in order to reinforce the concepts, and I bought a copy of the book for someone at work.
So what's so good? The book is really well thought out and the grammatical style is top notch. The book leads the reader into some fairly complex topics without overwhelming you. That being said, some of the algorithms an statistical models can be a little daunting, but the book is designed to introduce the reader to a range of tools and models and not to make you an expert overnight. I found the book to be both pragmatic and concise, while covering a lot of ground. An excellent text for someone who is interested in the background behind many AI and machine learning algorithms, and are looking for guidance on when to consider different approaches. Highly recommended, particularly for folks like me, who have dabbled in ML already and are looking to take their knowledge of Data Science to the next level."
William P Ross,"Data Science for Business is an ideal book for introducing someone to Data Science. The authors have tried to break down their knowledge into simple explanations. I am skeptical of non-technical Data Science books, but this one works well.

In the beginning we are shown the motivations for Data Science and what fields they apply to. Some examples include movie recommendations, credit card charges, telecom churn rate, and automated analysis of stock market news. The book avoids going into the highly technical parts of creating the system but gives you links for where to go.

They do not really reveal the whole Data Science stack. For example Hadoop was mentioned as an implementation of MapReduce but they said going into Hadoop configuration would be too detailed for this type of book. I tended to agree, and even being a progammer myself, I thought they made the right choice to leave that out.

Where the book shines is in the explanations. I am very familiar with expected value calculations and there was a chapter on this. It was a much better high level discussion than I have seen elsewhere, and they mentioned possible pitfalls of the expected value framework.

I liked that the emphasis was on deciding what problem to solve in Data Science. The title of the book is appropriate as it is not just about analyzing data, but figuring out the business case. If you are new to Data Science or looking to get a high level overview this book is an great place to start."
Kristy,"Let me first say the content of this book is great - my apologies to the authors for docking a star. That said, I should have docked more based on how the kindle version displays. Look at the size of the equation examples on the bottom half of the image with the pink highlight. Even when I enlarge the text (see the other image without a page number) the equations are horribly tiny. The image with a page number at the bottom shows you how it is displayed in a PDF version (which I had to get AFTER I purchased this from amazon). (Apologizes for not being able to give image numbers, but the pics uploaded in a different order than I submitted them).
Terrible quality on amazon's part and this book is frequently used as a college text book, so knowing the equations are essential."
Amazon Customer,"I recently made a career transition from academia as a Professor of IT Management to industry as Senior Data Scientist at one of the Big Four consulting firms. The research skills that I use for academic research are the same ones that I use to help my firm discover data-driven insights that are actionable and transformative for restructuring strategies and operations to drive business value. I thought this would be an easy argument to make during the interview process, but in the end I had to develop a less academic-sounding argument for the interviews. Provost and Fawcetts’ Data Science for Business was ideally suited for this purpose.

Provost and Fawcett is THE text if you want to learn advanced statistical methods in business-related problem-solving contexts separate from any specific programming language like R. It’s also the right choice if you want to understand data science from a strategic perspective and its process characteristics. Provost and Fawcett is extremely useful for anyone who is trying to get up to speed and demonstrate knowledge in business analytics or data science in relatively short manner. This text is extremely well written—the authors use non-technical language for the most part—and it’s interesting!"
K. Gilman,"This book strikes the right balance between providing practical advice for the aspiring data scientist and giving a solid foundation in the theory that can be generalized beyond the contents of the book. A lot of business books claim to be appropriate for a wide audience from novice to expert but this one really hits that mark. I've searched thoroughly for a book that is a comprehensive accounting of the techniques and possibilities of data analytics and been disappointed until I found this one. I've read the entire thing and I find myself referring back to it frequently. Whether your planning to perform data mining work yourself or you just want to really understand what it's all about, you won't be disappointed. There are some additional topics that I had wished were included in more detail but I've discovered that this is because this is still a young discipline and those things (e.g., formal detailed methodologies) just don't exist yet. Don't let the low price fool you, this is the most comprehensive book of usable data mining available right now."
Thomas,"Note - I was provided an ebook version in exchange for my review as part of the Library Thing Early Reviewers program.
In brief –
This is a great book for any in the data science field or wanting to just understand “Big Data” or a manager/professional just trying to “get current. “ I have a masters degree in software engineering with a data science background and three years experience in a prior job in Data warehousing. It was a long read, especially with the holidays, but well worth it, and more enjoyable than almost every technical book I have every read.
Strengths – Organization, having technical details in a side by side section for those who want it, covering details from definition, through use and application, as well as doing a good job explaining similarities and differences on key topics.
Weaknesses – there are a few small places I wanted more. Meaning if they could have somehow had more examples for the different models, situations, etc., especially as I got into more of the predictive models."
Dom,"An excellent resource for the Business Analyst (or the curious executive) looking for a comprehensive understanding of data analytics for business, especially the newer area of massive data/big data for business. This book gives a really solid grounding in both the business (strategic) and data (analytic, technical) aspects of modern data analytics. The authors clearly show that data is the next wave of change and that it will require a mindset change across all business functions--a mindset they call data-analytic thinking. If you need to master/improve this thinking skill set--here is a great place to start no matter what your job title.
Provost and Fawcett have put a lot of work into the instructional design of this book--you can follow it down to the technical/mathematical level of algorithm design or just read the content concerning business strategy and general data design and use. Either way, you will achieve a satisfactory understanding that serves your purpose--the authors maintain a conceptual continuity at two or three levels of discourse. Very nicely done and very engaging. Five stars."
Martin Isaksen,"This book is for people to gain an understanding of what data science truly is and how it can help with business decisions. The authors do a great job of keeping the concepts applicable to actual business events. I am a database developer, who also builds data mining models, and I wish more of my company's business managers would read this book! Data is an asset and should be treated as such. I highly recommend this book for business users and anyone wanting to know the fundamentals of data science.

Pros:
Very direct and easy to read (for a data science book)
Ties data science into real world business scenarios
Gives basic fundamentals on why and how a company can adapt data science to gain a competitive edge

Cons:
Not directed towards theoretical understandings of algorithms
No exercises to practice concepts

The cons are more disclaimers than cons, but thought you'd like to know. Take a ""Look Inside"" to get a feel for it."
Stewart Paulson,The institution strategy and goals need to be reflected in the procedures used to analyse the data base of the institution and the determination as to what data is relevant. The book discusses ways to obtain the data needed and the short term volatility in return to the company that can result. But the authors show that this can eventually lead to improved efficiency focus and profitability for the company. The book requires a background in a number of supportive academics for full understanding . The discipline has defined its own language much like most of the technolgical disciplines and is best appreciated by those familiar with the vocabulary. It is a book that warrants study not just as a quick read for introduction. For a person studying or practicing in this area I highly recommend this book for both its interest and as a reference book. Foster Provost and Tom Fawcett have made a valuable contribution to the understanding of Data Science.
Jean,"After letting this book sit on my shelf for more than 2 years, I finally cracked it open, expecting to struggle through it. To my surprise, everything in here just clicked — as much as I’d like to think it’s because I have a natural affinity for this topic, I’m pretty sure it’s due to the authors doing a fantastic job breaking down the concepts into really clear, easy to understand language. Seriously, to all the other business/tech/data science writers out there, you have no excuse now for writing unintelligible, confusing, jargon-y books. Data science really doesn’t have to be this mysterious dark art that some others try to present it as—thank you Foster Provost and Tom Fawcett for cutting through the crap and dispelling that myth with this book."
Kindle Customer,"This is an excellent textbook on data science. The text itself explains concepts and theories well and provides definitions, examples, and formulas that help the reader understand and apply these concepts. The information presented is well-organized, and the visual aids include ample graphs and charts. Section breaks are obvious with well-designed titles. Chapters are easy enough to read but don't over-simplify important concepts. Inclusion of Glossary, Bibliography, and index, as well as a detailed table of contents, makes it easy to navigate. The only exception our instructor took with the text during my course was their insistence that only the best data scientists should be considered. Removing this bias, the information provided was clear, concise, and helpful for anyone working with big data or in data analytics."
alirenco,"From what I’ve read so far, it’s an informative book. I wish it would go into more depth with some subjects since I’m trying to transition to a data science career, but I am learning some things that I didn’t know before on how to approach answering certain business questions with machine learning. I think I would need another book for the in depth analyses how-to but this book is good for understanding concepts."
Michael,"I work in analytics and have some familiarity with some of the techniques and discussions in the book, but it does an excellent job going through at a good depth, several of the critical areas of data science. Really helpful for me and my career."
Zain Khandwala,"Provost and Fawcett's book is one of the very few in the field that neither condescends nor patronizes the reader as it explores the motivations and machinery behind the most commonly used data analysis techniques in the analytics professional's toolbox. While it stops short of providing detailed instruction on how to use these techniques, it provides the reader a solid foundation for taking this next hands-on step. And for those who are not working directly with data, but are otherwise stakeholders in the use of analytics to drive better organizational outcomes, this book will greatly enable you to understand and add value to the analytical process.

---
Zain Khandwala
Executive Director,
Institute for Advanced Analytics
Bellarmine University
Louisville, KY"
Frank Castillo,"This book was good! It shows how to use different machine learning techniques and how to interpret them, how to comunicate and how to measure the value that it could cause in the business. I thinks this book could be better if it had more examples with other techniques that usually are called ""Black boxes""."
Imsoyong,I’m very disappointed about book paper and printing due to low paper quality and pain black and white. Actually I bought this book as the color help me to recognize graph and enhance my understanding.
cryptoman,This is a great book that gives a top level view of machine learning and data science. It is particularly useful for non-technical readers who need to have a need to know the lingo for being able to follow conversations around the topic. It is also a great introduction for technical people who have never worked in data science before.
RaffiMK,"I worked for a number of years at Fair Isaac, a data science company founded in the 1950's. Although I'm not a data scientist myself, I spent quite a bit of time understanding how predictive analytics is used in different contexts. Foster and Provost have managed to complete a nearly impossible task: create the right ""translator"" to explain the math to the business people, and the business objectives to the analysts in a clear and compelling way. This is a must-read for both sides of the house!"
Ryan,"Excellent overview of many data science concepts! I recommend making a list of key words (concepts, terms, algorithms, etc.) that are mentioned. These can be very useful for making flashcards and identifying topics for further research. After reading the book you of course won't fully understand all of these concepts and terms, but there is significant utility in being aware of these concepts and ready to connect them while working on problems."
David L. Parnell,"If you are an analyst professionally or academically, this book profoundly and practically relates statistics to relevant business processes and data. If you are a professional data analyst this book will help you reorder and consolidate your work experience and knowledge while reinforcing and focusing your analytic abilities. If you are a student of data analytics, this book will accelerate your understanding of the required methods to become a practicing data analyst...and your ""customers"" will see this competence in your work and your presentation."
Hezekiah,The best book I've found so far at explaining the theory of Data Science. If you are looking to get into data science and don't want to just start plugging away with Python or R then this is a great starter book that will teach you the lingo and the concepts that surround data science.
Peter,"This book helps answer what the data science is about. It teaches you what kind of task and analysis you would do if you worked as a data scientist. The author emphasizes that it is rather ""conceptual"" than ""mathematical"", so it is greatly helpful to those without much math and/or statistics background. If you are into learning professional skill or knowledge, it may not be the book but it is still a good book to start if you need a general idea."
engagedconsumer_genx,"This book is fantastic. it's a perfect mix of high-level explanation and technical details. There doesn't seem to be much to help one actually execute the methods described, but that does not appear to be the author's intent (which is why there is no negative impact on my rating).
I appreciated the accessibility and plain English - albeit thorough - writing (from the perspective of a person who is self-taught in data science and sometimes less acquainted with the terminology)."
John Karlo Parra,"I read the book in parallel with the coursera course of applied data science with Python of Michigan University.
This book is an excellent complement in order to understand the real power and limitations of this kind of analysis.
I really enjoyed the math explanations that are scarce but important in order to understand what is really happening under the hood without being too technical."
jonathan,"This book will definitely open your mind to the possibilities and capabilities that business data provides.

If you have a close relationship to your marketing manager or executives, this book will make you shine when speaking at meetings or when you are setting up business plans.

It gives you the ability to look at data differently and make better decisions on what might have otherwise been difficult hurdles in the way of progress and innovation."
Viviana,"Book arrived as described. It also arrived a week earlier, which is great because I got it just before my class. Thank you!

This is a reliable company."
Jason L. Kennedy,"Good overview of Data Science for a manager or other non-data scientist.

I would recommend it for individuals wanting to understand the capabilities and high level process of data science. It is however limited in its depth if you want to really dig into the nuts and bolts of how data science is done."
Fabian Bautista,I bought this book to learn more about the concept of Data Science. This book is a good place for this. If you are familiar with Data Mining you will see that Data Science is the conceptual framework of Data Mining. Also you will find interesting concepts like the expected value framework for evaluating your models.
Carl Marquez,"It's a good, but hard read. I'd like to think of myself as above average when it comes to stats and math, but I had to reread several chapters to ensure I had the concept down. More of a book around machine learning. Still a good read, just take your time with it."
James Benton Lackey III,"This isn't really a book about the business applications of data science. Instead it has some businessy sounding bits and the start and end which feel like an afterthought. The middle seems like it was taken from a data mining textbook (or perhaps previously was one). Particularly strangely, it presents some math for machine learning but in a dumbed down way using notation the author invented (the strangest was a replacement for sigma as sum notation).

Rather than reading this you're probably better off reading a book about how business might be impacted by machine learning and related things (The Second Machine Age or Average is Over). Alternatively, if you want to know more about data science / data mining (now fairly deprecated term this book uses) or machine learning you'd be better off picking up Hastie's or Mitchell's book or taking Andrew Ng's course on Coursera."
Milo,"As someone without a strong DS background I was surprised how accessible this was. Really good overview in the first 25 pages and then goes into plenty of detail should you need it on specific techniques. For me: I really concentrated on the intro and the section summaries and will keep on the shelf for reference for the more detailed stuff, as and when those topics come up."
PLOM,"A well structured and well written inteoduction to this important subject. Clear examples are used and the fundàmentals reinforced in many places. Of special interest is the example proposal and evaluation in the appendix. A warning, this will really only make sense by reading the book."
